match_id,Radiant,Dire,radiant_assists,radiant_barracks,radiant_denies,radiant_gpm,radiant_healing,radiant_hero_damage,radiant_kills,radiant_last_hits,radiant_total_levels,radiant_tower_damage,radiant_tower_status,radiant_xpm,dire_assists,dire_barracks,dire_denies,dire_gpm,dire_healing,dire_hero_damage,dire_kills,dire_last_hits,dire_total_levels,dire_tower_damage,dire_tower_status,dire_xpm,first_blood,match_duration,radiant_winner
4063131371,Vici Gaming,Newbee,63,59,42,2179,5987,82561,26,1230,119,12178,1798,2616,66,60,34,2294,1453,85474,28,1328,118,8616,256,2716,0,2954,1
4063131418,TNC Predator,paiN Gaming,52,0,54,2008,2443,102049,29,1089,118,6162,0,2360,77,63,55,2694,6587,110284,48,1320,124,23003,1824,2967,103,3254,0
4063131437,Team Secret,Virtus.pro,23,3,31,1579,160,61810,11,736,80,3817,1540,1845,76,63,37,2159,2954,65863,30,765,99,12445,1958,2667,174,1989,0
4063202564,Team Secret,Virtus.pro,68,63,42,1935,20405,55567,26,620,91,11079,1974,2232,32,60,62,1644,2938,66597,12,719,78,989,1952,1814,147,1991,1
4063220819,Vici Gaming,Newbee,65,63,30,2100,5657,74993,33,687,102,7211,1840,2730,46,63,83,1824,3147,54566,20,690,86,8237,1844,2023,19,2003,1
4063222284,OpTic Gaming,VGJ Storm,49,63,79,2391,2066,58823,27,805,95,14913,1855,2573,27,60,32,1662,2436,53809,12,633,79,1505,256,1897,174,1914,1
4063225719,TNC Predator,paiN Gaming,38,63,55,2487,1711,65164,30,681,89,15415,1975,2530,18,3,18,1578,2452,35961,11,580,70,1699,1536,1738,105,1732,1
4063266100,Fnatic,Mineski,109,0,57,2280,36900,226694,51,1875,125,17919,0,2745,121,3,31,2465,10692,251727,42,2014,125,26044,1536,2450,128,4912,0
4063286002,Winstrike,PSG.LGD,37,3,25,1872,4275,58143,23,665,88,3574,1540,2211,90,63,53,2379,1997,88349,40,729,108,16122,2022,3055,88,1993,0
4063289036,Team Liquid,Invictus Gaming,55,2,47,2342,8777,130672,23,1303,118,23330,0,2471,125,60,30,2665,16792,121932,38,1234,120,22934,0,2698,190,3042,0
