"xp_per_min","tower_damage","kills","hero_healing","hero_damage","gold_per_min","assists","deaths","dmg_dealt","last_hits","match_id","start_time","win","hero_id","account_id","leaguename"
563,3897,11,0,34580,627,8,2,34580,472,2683309223,1475398762,true,9,111620041,"MarsTV Dota 2 League 2016"
563,2234,14,0,27353,712,15,5,27353,433,2933092997,1485135564,true,11,111620041,"Dota Pit League Season Five"
563,0,1,341,8712,407,9,5,8712,245,3352462460,1501721682,false,41,111620041,"The International 2017"
562,5444,13,0,26137,626,10,2,26137,354,2678250134,1475222987,true,76,111620041,"MarsTV Dota 2 League 2016"
562,2015,3,0,24914,536,11,8,24914,342,2763657161,1478552615,false,49,111620041,"Dota Pit League Season Five"
561,1348,9,0,13644,666,1,1,13644,142,2789737402,1479578410,true,76,111620041,"The Summit 5"
558,1623,7,0,23126,606,11,5,23126,365,3299540341,1499479586,false,74,111620041,"2017 Mars Dota 2 League"
558,407,10,0,21519,482,13,3,21519,161,3356260301,1501895007,true,7,111620041,"The International 2017"
556,1751,3,0,14023,557,9,6,14023,343,3084204099,1490749254,false,74,111620041,"Dota 2 Asia Championships 2017"
555,9284,11,0,55561,684,9,9,55561,395,3061225864,1489787368,true,46,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
547,2519,4,0,7010,543,8,1,7010,218,2674045536,1475044451,true,15,111620041,"MarsTV Dota 2 League 2016"
546,869,12,0,23780,540,10,4,23780,353,2682745535,1475380821,true,13,111620041,"MarsTV Dota 2 League 2016"
542,641,4,0,12524,515,5,5,12524,252,2930548519,1485030550,false,8,111620041,"Dota Pit League Season Five"
537,295,9,0,17020,485,11,0,17020,129,3033038349,1488572473,true,106,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
534,2392,12,0,53550,655,11,10,53550,454,3032935500,1488568007,false,46,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
529,19,0,0,5197,451,3,6,5197,211,3205094163,1495801768,false,46,111620041,"Masters Manila 2017"
527,1803,13,0,32269,480,11,8,32269,269,2823734630,1480895436,true,70,111620041,"The Boston Major 2016"
527,1022,8,0,18326,541,5,6,18326,244,2792438890,1479668525,false,76,111620041,"The Summit 5"
525,63,1,215,9513,558,0,7,9513,299,2674424505,1475059546,false,80,111620041,"MarsTV Dota 2 League 2016"
523,8813,12,0,15341,577,7,7,15341,282,2756349405,1478287432,true,104,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
520,1736,10,3463,27993,449,15,4,27993,374,3362390555,1502144075,false,36,111620041,"The International 2017"
520,762,3,0,18573,862,1,5,18573,430,2774602176,1478991147,false,73,111620041,"Northern Arena BEAT Invitational presented by Bell"
518,2163,12,0,33436,546,8,8,33436,406,3094834557,1491189104,false,25,111620041,"Dota 2 Asia Championships 2017"
518,642,5,0,18682,457,7,7,18682,280,3139776903,1493139417,false,19,111620041,"Kiev Major"
516,242,3,0,8417,464,5,2,8417,214,2790242152,1479599076,true,76,111620041,"The Summit 5"
516,63,7,0,61134,579,16,4,61134,378,3080811564,1490600990,true,34,111620041,"Dota 2 Asia Championships 2017"
515,367,10,0,37504,543,13,6,38095,351,2929457462,1484997970,true,106,111620041,"Dota Pit League Season Five"
513,1181,11,0,23308,429,14,2,23308,235,3355646788,1501862437,true,7,111620041,"The International 2017"
510,452,6,0,6217,471,7,2,6217,142,2761684165,1478470418,true,97,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
509,1123,15,0,24303,380,23,5,24303,77,3368387319,1502421614,true,7,111620041,"The International 2017"
507,602,9,0,10653,558,1,0,10653,115,2833437475,1481295451,true,70,111620041,"The Boston Major 2016"
506,2983,7,0,25538,529,11,4,25538,284,2823269532,1480872128,false,8,111620041,"The Boston Major 2016"
505,7691,15,0,36117,785,17,3,36117,549,3082279742,1490662766,true,74,111620041,"Dota 2 Asia Championships 2017"
