match_id,Radiant,Dire,radiant_assists,radiant_barracks,radiant_denies,radiant_gpm,radiant_healing,radiant_hero_damage,radiant_kills,radiant_last_hits,radiant_total_levels,radiant_tower_damage,radiant_tower_status,radiant_xpm,dire_assists,dire_barracks,dire_denies,dire_gpm,dire_healing,dire_hero_damage,dire_kills,dire_last_hits,dire_total_levels,dire_tower_damage,dire_tower_status,dire_xpm,first_blood,match_duration,radiant_winner
4061984521,VGJ Thunder,PSG.LGD,77,63,36,2293,8771,87096,39,1199,115,9692,32,2636,58,59,26,2435,3062,126935,28,1647,113,8633,1796,2493,9,2902,0
4062010988,Team Liquid,OG,92,63,29,2378,1827,109964,46,677,105,12266,1974,2952,51,48,29,1843,3837,81696,31,586,85,2783,1792,2056,91,1995,1
4062016236,paiN Gaming,Newbee,79,51,24,2361,1145,115963,30,1409,119,12485,260,2576,104,63,40,2389,4118,138241,44,1292,123,13291,1824,2867,213,3253,0
4062017242,TNC Predator,Vici Gaming,55,63,35,2081,1611,57325,26,559,81,8690,1983,2283,28,63,37,1528,1347,49060,10,530,69,2876,1572,1747,139,1636,1
4062034566,Virtus.pro,Team Serenity,56,63,65,2260,6055,44837,31,390,68,14857,1975,2008,18,11,34,1386,291,38488,10,363,56,705,1540,1448,1,1355,1
4062045592,TNC Predator,Vici Gaming,70,63,24,2511,200,120727,28,1921,125,9590,1828,2523,67,15,44,1987,5534,108033,28,1512,123,8498,1572,2271,214,4062,1
4062047269,Team Secret,VGJ Storm,57,0,47,2201,11263,140689,25,1555,119,10566,0,2391,85,63,64,2493,18359,158407,29,1622,121,22910,772,2799,137,3353,0
4062061780,Virtus.pro,Team Serenity,40,43,51,1812,400,49467,19,764,92,3118,1542,2198,55,63,43,2347,123,74086,34,944,104,12345,1846,2775,51,2168,0
4062062147,paiN Gaming,Newbee,57,63,85,2427,1730,70174,29,886,106,10106,1958,2711,60,60,36,1818,1036,71328,22,908,96,4899,1792,2148,262,2314,1
4062098361,VGJ Storm,Team Secret,100,63,58,2218,5725,103530,33,929,108,14374,1846,2569,45,48,41,1778,5028,101171,19,858,97,2154,1536,2061,281,2468,1
4062098446,Team Liquid,PSG.LGD,90,0,35,2267,40625,126882,34,1178,123,8593,512,2708,108,63,43,2392,3624,137356,55,1373,123,21081,1988,2789,97,3280,0
4062099038,Mineski,Evil Geniuses,49,48,47,2092,14648,86566,21,1096,106,3637,1536,2520,87,63,36,2705,2309,88758,36,999,112,15434,1846,2813,0,2361,0
4062103539,VGJ Thunder,Fnatic,11,0,35,1832,936,39400,11,639,70,391,1536,1563,45,63,45,2103,4035,63689,24,503,78,19536,2047,1875,42,1827,0
4062142402,Winstrike,Invictus Gaming,60,47,39,2256,4055,60536,25,714,94,15303,1590,2549,24,48,57,1897,248,60203,12,775,81,8460,1792,1912,214,1928,1
4062142571,Evil Geniuses,Mineski,79,63,49,2071,6138,78706,30,901,114,7624,1828,2828,79,63,52,1984,1664,66971,33,905,107,3552,1572,2416,7,2513,1
4062143387,Fnatic,VGJ Thunder,69,63,27,2239,3059,87042,30,774,101,8059,1972,2772,30,15,45,1724,3517,56075,12,681,83,1521,1588,1957,167,1959,1
4062151757,Team Liquid,PSG.LGD,64,63,35,2380,13545,54339,30,598,90,13825,1968,2734,22,3,59,1826,421,47434,16,747,70,5280,1540,1806,122,1600,1
4062183675,Winstrike,Invictus Gaming,111,63,38,2378,3702,112853,39,977,120,18635,1974,2947,55,32,54,1785,2909,100265,23,966,102,3425,1536,2113,100,2592,1
4063131353,OpTic Gaming,VGJ Storm,70,51,44,1881,15832,111450,24,1027,110,3413,256,2425,108,63,48,2513,7898,119918,46,1134,118,13812,1844,2776,0,2816,0
4063131371,Vici Gaming,Newbee,63,59,42,2179,5987,82561,26,1230,119,12178,1798,2616,66,60,34,2294,1453,85474,28,1328,118,8616,256,2716,0,2954,1
4063131418,TNC Predator,paiN Gaming,52,0,54,2008,2443,102049,29,1089,118,6162,0,2360,77,63,55,2694,6587,110284,48,1320,124,23003,1824,2967,103,3254,0
4063131437,Team Secret,Virtus.pro,23,3,31,1579,160,61810,11,736,80,3817,1540,1845,76,63,37,2159,2954,65863,30,765,99,12445,1958,2667,174,1989,0
4063202564,Team Secret,Virtus.pro,68,63,42,1935,20405,55567,26,620,91,11079,1974,2232,32,60,62,1644,2938,66597,12,719,78,989,1952,1814,147,1991,1
4063220819,Vici Gaming,Newbee,65,63,30,2100,5657,74993,33,687,102,7211,1840,2730,46,63,83,1824,3147,54566,20,690,86,8237,1844,2023,19,2003,1
4063222284,OpTic Gaming,VGJ Storm,49,63,79,2391,2066,58823,27,805,95,14913,1855,2573,27,60,32,1662,2436,53809,12,633,79,1505,256,1897,174,1914,1
4063225719,TNC Predator,paiN Gaming,38,63,55,2487,1711,65164,30,681,89,15415,1975,2530,18,3,18,1578,2452,35961,11,580,70,1699,1536,1738,105,1732,1
4063266100,Fnatic,Mineski,109,0,57,2280,36900,226694,51,1875,125,17919,0,2745,121,3,31,2465,10692,251727,42,2014,125,26044,1536,2450,128,4912,0
4063286002,Winstrike,PSG.LGD,37,3,25,1872,4275,58143,23,665,88,3574,1540,2211,90,63,53,2379,1997,88349,40,729,108,16122,2022,3055,88,1993,0
4063289036,Team Liquid,Invictus Gaming,55,2,47,2342,8777,130672,23,1303,118,23330,0,2471,125,60,30,2665,16792,121932,38,1234,120,22934,0,2698,190,3042,0
4063299885,Evil Geniuses,OG,95,63,37,2133,12533,96997,41,656,99,5669,1975,2771,29,63,31,1462,2875,62792,13,464,70,1430,1572,1483,0,1893,1
